Id,Referencia,Código Barra,Nombre,SKU,Descripción,Item Tipo,Es Combo,Precio 1,Precio 2,Precio 3,Precio 4,Precio 5,Margen 1,Margen 2,Margen 3,Margen 4,Margen 5,No Comisionable,Marca Id,Marca Nombre,Categoria Id,Categoria Nombre,SubCategoria Id,SubCategoria Nombre,Familia Id,Familia Nombre,RazonTransaccion Id,RazonTransaccion Nombre,Item Unidad Id,Item Unidad Descripcion,Costo Promedio Ponderado,Punto Reorden,Costo Ultimo De Compra,Cuenta Compra,Cuenta Venta,Cuenta Costo,Suplidor,Estatus,Tipo Ingreso,Código Arancelario,Impuestos de Importación,Días de Garantía,Tiempo de Entrega,Crear Usuario,Fecha Creación,Actualizar Usuario,Fecha Actualización,Atributo 1,Atributo 2,Atributo 3,Atributo 4,Atributo 5,Atributo 6,Atributo 7,Atributo 8,Atributo 9,Atributo 10,Imagen
1,,,Servicios Profesionales,,Servicios Profesionales,Servicios,No,1000,,,,,,,,,,No,,,,,,,,,,,,,,,57534.14,100302,,,"INVENTORY SOLUTIONS EIRL,INDUSTRIAS DE FIBRAS DOMINICANA,AN CONSULTEAM, SRL,ACP FINANCIAL CONSULTING SRL,RIEL CONSULTING SRL,ALBERT JUNIOR PAREDES DOMINGUEZ,DAYSI ESPINOSA,YISSEL JOSEFINA DE LEON BURGOS,EDYS JESUS CARABALLO RAZON,INDHIRA PEYNADO,FELIPE MISTE LOPEZ,CARIDAD MARTINEZ,ASOC. DE SUPLID. MATERIALES ELETRICOS,GABRIELA M. FERREIRA,CARIBETRANS, S.A,FULTER LOGISTICS SRL,JAS SOSA SERVICIOS SRL    (LUBRIPOINT),OLGA LASCA,ANGEL BENITO GARCIA DE LOS SANTOS,YISSER CATILLO DE LA ROSA,YANETTE C. VALDEZ CRUZ,GRUPO RAMOS,CARRUJO EMPRESARIAL SRL,RAMVAR COMPUTADORAS,CENTRO CUESTA NACIONAL SAS,CITRUS TECHNOLOGY GROUP SRL,FRANK GARCIA VALERA,CELSO SIERRA,ANA FRANCHESCA GONZALEZ BATISTA,YAQUELIN DEL CARMEN JIMENEZ,RESTAURANTE LINA(GRAN HOTEL LINA),REBECA PIMENTEL VALERA,MIGUEL ANGEL BONILLA,GEORG FISCHER SA DE CV,GULFSTREAM `PETROLEUM DOMINICANA,OPERADORA DE LICORES LA ESPERILLA 947 SR,EDWIN ORLANDO HERNANDEZ TAPIA,ALICIA MARGARITA CONTRERAS REYES,ODAMED COMERCIAL SRL,EXPRESS PARCEL SERVICE INTERNATIONAL INC,DILECCIO ANT. GUZMAN,RONNY SANCHEZ GUZMAN,ORLANDO ANTONIO HENRIQUEZ TAVERAS,BIZANTINOS PAPELERIA & SERVICIOS SRL,DHL DOMINICANA,CONDOMINIO MARBELLA,DATA CREDITO,JUAN JOSE VASQUEZ,RAC CONSULTORIA Y NEGOCIOS SRL,A1-ALARMAS,HONNYMAR DELICIAS SRL,INSTRUSERV SRL,PAYPAL,FUNDACION ESCUELITA RAYO DE SOL,SIGMATEC SRL,INSTITUTO DE SERVICIOS PSICOSOCIALES Y EDUCATIVOS FELIZ LAMARCHE,PARKER HANNIFIN CORPORATION,J H ELECTRO ALAMBRES SRL,AMERICO ESTELIO FUERTE BEATO,FLORISTERIA ZUNI FLOR, SRL,GRUPO TPG SRL",Activo,01 - Ingresos por Operaciones (No Financieros),,,,,admin,7/10/2025,,,,,,,,,,,,,
2,,,Producto Prueba,,Producto Prueba,Producto con Inventario con Descuento y Despacho,No,100,,,,,,,,,,No,1,Marca Prueba,1,Categoria Prueba,1,SubCategoria Prueba,1,Familia Prueba,,,1,Unidad,,,,100302,,,,Activo,01 - Ingresos por Operaciones (No Financieros),,,,,admin,7/10/2025,,,,,,,,,,,,,
3,PILOTO SIERRA A1 STARRETT,,11015F,961106,Piloto sierra a1 starrett modelo 961106,Producto con Inventario con Descuento y Despacho,No,13,,,,,45,,,,,No,14,MATERIALES,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,8.064,100302,,,"MATERIALES INDUSTRIALES, S.A (MATISA)",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
4,REGULADOR P/VAPOR PRES.25/75PS,,11088F 3/4 95H,"3/4""95H","Regulador paravapor presión25/75ps modelo 3/4""95H",Producto con Inventario con Descuento y Despacho,No,679.23,0,0,0,0,45,,,,,No,16,CONTROL AS,7,11 - Reguladores,,,,,,,1,Unidad,,0,357.84,100302,,,CONTROL ASSOCIATES OF PUERTO RICO LLC,Activo,01 - Ingresos por Operaciones (No Financieros),,0,0,60,lfeliz,4/11/2025,lfeliz,16/1/2026,,,,,,,,,,,
5,AMPLIFICADOR INFRAROJ P/RM7800,,1007R7848A1008,R7848A1008,Amplificador modelo R7848A1008 para Control RM7800,Producto con Inventario con Descuento y Despacho,No,388.58,,,,,45,,,,,No,3,HW B,2,10 - Amplificadores,,,,,,,1,Unidad,,,250.7,100302,,,HONEYWELL INTERNATIONAL ECC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
6,"SK BLUE E+C0OLING UNIT,WALL MO",,11513,3186930,"Sk blue e+c0oling unit,wall mo RITTAL modelo 3186930",Producto con Inventario con Descuento y Despacho,No,7003.7,,,,,45,,,,,No,9,RITTAL,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,4244.67,100302,,,RITTAL SA DE CV,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
7,"JUNTA GOMA P/PLATILLO 4""",,11000CC,MM-AMT-021,Junta goma paraplatillo 4? modelo MM-AMT-021,Producto con Inventario con Descuento y Despacho,No,7.39,,,,,45,,,,,No,6,LEZCANO,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,4.8195,100302,,,"LEZCANO HERMANOS, S.A.S.",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
8,VALVULA GLOBO 3/4 800PSI,,11089AA,KA P/S,"Válvula de globo, serie 800, modelo KA",Producto con Inventario con Descuento y Despacho,No,40,,,,,45,,,,,No,5,TORPEDO,4,11 - Válvulas,,,,,,,1,Unidad,,,28.959,100302,,,"Empresa Torpedo, SA",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
9,JUNTA D/CRISTAL DE NIVEL VISO,,11008 JP/CRIST,H6-10 ANTES ER 0.478,Junta de cristal de nivel viso modelo H6-10 ANTES ER,Producto con Inventario con Descuento y Despacho,No,1.1,,,,,45,,,,,No,7,ALLIED BOL,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,0.23,100302,,,ALLIED BOILER & SUPPLY INC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
10,VENTILADOR PARKER,,11504,398H473418,Ventilador parker PARKER modelo 398H473418,Producto con Inventario con Descuento y Despacho,No,97.35,,,,,45,,,,,No,8,PARKER,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,59.17,100302,,,PARKER HANNIFIN CORPORATION,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
11,AMPLIFICADOR CHECK DEL 3028,,1017 R7851B101,7851B1018,"Válvula de retención, marca HONEYWELL, serie 3028, modelo 7851B1018",Producto con Inventario con Descuento y Despacho,No,79.025,,,,,45,,,,,No,2,HONEYWELL,2,10 - Amplificadores,,,,,,,1,Unidad,,,47.54,100302,,,HONEYWELL INTERNATIONAL ECC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
12,"REGULADOR P/VAPOR 1/2""",,11088FF,,Regulador paravapor 1/2?,Producto con Inventario con Descuento y Despacho,No,326.63,,,,,45,,,,,No,17,HAPA,7,11 - Reguladores,,,,,,,1,Unidad,,,236.523,100302,,,"HAPA & CIA. DOMINICANA, SRL",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
13,AMPLIF. RECTP/C7012EF P/RM7800,,1016R7847C1005,R7847C1005,Amplificador. rectp/c7012ef pararm7800 HONEYWELL modelo R7847C1005,Producto con Inventario con Descuento y Despacho,No,382.5682,,,,,45,,,,,No,2,HONEYWELL,2,10 - Amplificadores,,,,,,,1,Unidad,,,250.7,100302,,,HONEYWELL INTERNATIONAL ECC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
14,"JUNTA FLEXIBLE EXP 4"" PLAT 150",,11012CC,,Junta Flexible exp 4? plat 150,Producto con Inventario con Descuento y Despacho,No,79.6,,,,,45,,,,,No,5,TORPEDO,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,57.687,100302,,,"Empresa Torpedo, SA",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
15,AMPLIFICADOR,,1014R7849A1021,R7849A1021,Amplificador HONEYWELL modelo R7849A1021 para sistemas de Combustión,Producto con Inventario con Descuento y Despacho,No,124.4562,,,,,45,,,,,No,2,HONEYWELL,2,10 - Amplificadores,,,,,,,1,Unidad,,,81.57,100302,,,HONEYWELL INTERNATIONAL ECC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
16,AMPLIFICADOR ULTRAV. P/RM7800,,1009R7849A1015,R7849A1015,Amplificador uv modelo R7849A1015 para Control RM7800,Producto con Inventario con Descuento y Despacho,No,362.018,,,,,45,,,,,No,3,HW B,2,10 - Amplificadores,,,,,,,1,Unidad,,,233.56,100302,,,HONEYWELL INTERNATIONAL ECC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
17,ELECTRODO D/IGNICION 6'',,11032,3M6,Electrodo de ignicion 6'' modelo 3M6,Producto con Inventario con Descuento y Despacho,No,15,,,,,45,,,,,No,7,ALLIED BOL,6,11 - Electrodos,,,,,,,1,Unidad,,,8.9,100302,,,ALLIED BOILER & SUPPLY INC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
18,AMPLIFICADOR R7849B1021,,1014A,R7849B1021,Amplificador modelo R7849B1021 para sistemas de Combustión,Producto con Inventario con Descuento y Despacho,No,407,,,,,45,,,,,No,4,HON B,2,10 - Amplificadores,,,,,,,1,Unidad,,,239.39,100302,,,HONEYWELL INTERNATIONAL ECC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
19,CONTROL DE TEMPERATURA  HONEYW,,1018 R7926A200,R7426A2006,Control de temperatura honeyw HONEYWELL modelo R7426A2006,Producto con Inventario con Descuento y Despacho,No,347.71,,,,,45,,,,,No,2,HONEYWELL,2,10 - Amplificadores,,,,,,,1,Unidad,,,193.13,100302,,,HONEYWELL INTERNATIONAL ECC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
20,JUNTA 1V2396X0022,,11000JA,1V2396X0022,Junta 1v2396x0022 modelo 1V2396X0022,Producto con Inventario con Descuento y Despacho,No,14,,,,,45,,,,,No,10,PAYPAL,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,8.37,100302,,,PAYPAL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
21,JUNTAS DE EMPAQUE 10175 H1L5,,11004B,10175 H1L5,Juntas de empaque 10175 h1l5 PARKER modelo 10175 H1L5,Producto con Inventario con Descuento y Despacho,No,40,,,,,45,,,,,No,8,PARKER,5,11 - Accesorio para calderas,,,,,,,1,Unidad,2338.2334,,30.8259,100302,,,PARKER HANNIFIN CORPORATION,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
22,"VALVULA GLOBO 1-1/2"" 300PSI",,11089,1237007,"Válvula de globo, serie 300, 1/2"", modelo 1237007",Producto con Inventario con Descuento y Despacho,No,329,,,,,45,,,,,No,5,TORPEDO,4,11 - Válvulas,,,,,,,1,Unidad,,,215.7855,100302,,,"Empresa Torpedo, SA",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
23,AMPLIFICADOR RECTIF. P/RM7800,,1011R7847A1025,R7847A1025,Amplificador rectificador HONEYWELL modelo R7847A1025 para Control RM7800,Producto con Inventario con Descuento y Despacho,No,116,,,,,45,,,,,No,2,HONEYWELL,2,10 - Amplificadores,,,,,,,1,Unidad,,,81.79,100302,,,HONEYWELL INTERNATIONAL ECC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
24,AMPLIFICADOR ULTRAV P/RM7800,,1015R7849A1023,R7849A1023,Amplificador uv modelo R7849A1023 para Control RM7800,Producto con Inventario con Descuento y Despacho,No,15425.0855,,,,,45,,,,,No,3,HW B,2,10 - Amplificadores,,,,,,,1,Unidad,10637.99,,10637.99,100302,,,HONEYWELL INTERNATIONAL ECC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
25,"AMPLIFIC.DYNAMIC SELF CH, U.V.",,1037 R7861A102,R7861A1026,Amplificador HONEYWELL modelo R7861A1026 para sistemas de Combustión,Producto con Inventario con Descuento y Despacho,No,305.2,,,,,45,,,,,No,2,HONEYWELL,2,10 - Amplificadores,,,,,,,1,Unidad,,,168.735,100302,,,HONEYWELL INTERNATIONAL ECC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
26,ELECTRODO D/IGNICION 5'',,11031,3M5,Electrodo de ignicion 5'' modelo 3M5,Producto con Inventario con Descuento y Despacho,No,14,,,,,45,,,,,No,7,ALLIED BOL,6,11 - Electrodos,,,,,,,1,Unidad,,,8.01,100302,,,ALLIED BOILER & SUPPLY INC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
27,"VALV. REG D/VAPOR 1""",,11089A BRV2S,BRV2S,"Válvula de industrial, 1"", modelo BRV2S",Producto con Inventario con Descuento y Despacho,No,658,,,,,45,,,,,No,6,LEZCANO,4,11 - Válvulas,,,,,,,1,Unidad,,,475.9335,100302,,,"LEZCANO HERMANOS, S.A.S.",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
28,REGISTRO PLAST. 100X100X70,,11001CC,DB-100X100X70,Registro plast. 100x100x70 modelo DB-100X100X70,Producto con Inventario con Descuento y Despacho,No,3.045,,,,,45,,,,,No,12,NC,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,2.205,100302,,,"NC AUTOMATIZACION Y CONTROLES, SRL",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
29,"JUNTA FLEXIBLE INOX. 3 X 18""",,11016B,,Junta Flexible inox. 3 x 18?,Producto con Inventario con Descuento y Despacho,No,403,,,,,45,,,,,No,11,34 ELECTRI,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,189.735,100302,,,34 ELECTRICO INDUSTRIAL SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
30,AMPLIFICADOR INFRAROJOP/RM7800,,1007AR7848A101,R7848A1016,Amplificador HONEYWELL modelo R7848A1016 para Control RM7800,Producto con Inventario con Descuento y Despacho,No,298,,,,,45,,,,,No,2,HONEYWELL,2,10 - Amplificadores,,,,,,,1,Unidad,,,188.77,100302,,,HONEYWELL INTERNATIONAL ECC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
31,"JUNTA FLEXIBLE EXPANSION 6""",,11017AAA,,Junta Flexible expansion 6?,Producto con Inventario con Descuento y Despacho,No,136.47,,,,,45,,,,,No,5,TORPEDO,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,98.8155,100302,,,"Empresa Torpedo, SA",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
32,"VALVULA REGULADORA VAPOR 1""",,11088EC,VGVRV006,"Válvula de industrial, 1"", modelo VGVRV006",Producto con Inventario con Descuento y Despacho,No,201,,,,,45,,,,,No,5,TORPEDO,4,11 - Válvulas,,,,,,,1,Unidad,,,138.871,100302,,,"Empresa Torpedo, SA",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
33,"JUNTA ESPIROMETALICA 150# 2""",,11017,"150# 2""","Junta espirometalica 150# 2? modelo 150# 2""",Producto con Inventario con Descuento y Despacho,No,6.51,,,,,45,,,,,No,6,LEZCANO,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,4.7124,100302,,,"LEZCANO HERMANOS, S.A.S.",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
34,"JUNTA D/EXPANSION EPDM 6""150PS",,11012C 150DN,150DN,Junta de expansion epdm 6?150ps modelo 150DN,Producto con Inventario con Descuento y Despacho,No,154.13,,,,,45,,,,,No,5,TORPEDO,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,113.4,100302,,,"Empresa Torpedo, SA",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
35,"VALV. REG 3/4'',BRONCE",,11015,ZT-27324,"Válvula de industrial, serie 27324, bronce, modelo ZT-27324",Producto con Inventario con Descuento y Despacho,No,103.39,,,,,45,,,,,No,5,TORPEDO,4,11 - Válvulas,,,,,,,1,Unidad,,,75.3375,100302,,,"Empresa Torpedo, SA",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
36,"VALV. REG 1/2""",,11015B,PRS-12,"Válvula de industrial, 1/2"", modelo PRS-12",Producto con Inventario con Descuento y Despacho,No,108.86,,,,,45,,,,,No,13,R OCHOA,4,11 - Válvulas,,,,,,,1,Unidad,,,100.8,100302,,,"FERRETERIA OCHOA, S.A",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
37,"JUNTA DE GOMA 4""",,11000P,MM-MSC-939,Junta de goma 4? modelo MM-MSC-939,Producto con Inventario con Descuento y Despacho,No,4.2,,,,,45,,,,,No,11,34 ELECTRI,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,3.045,100302,,,34 ELECTRICO INDUSTRIAL SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
38,"JUNTA ESPIROMETALICA 150# 3""",,11017A,"150# 3""","Junta espirometalica 150# 3? modelo 150# 3""",Producto con Inventario con Descuento y Despacho,No,8.51,,,,,45,,,,,No,6,LEZCANO,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,6.1635,100302,,,"LEZCANO HERMANOS, S.A.S.",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
39,BALL JOINT + MDSE,,1038 27518,27518,"Válvula de bola, marca HONEYWELL, serie 27518, modelo 27518",Producto con Inventario con Descuento y Despacho,No,5.341,,,,,45,,,,,No,2,HONEYWELL,3,10 - Válvulas,,,,,,,1,Unidad,,,4.32,100302,,,HONEYWELL INTERNATIONAL ECC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
40,"JUNTA FLEXIBLE EXP.8"" PLAT 150",,11017AA,11040007,Junta Flexible exp.8? plat 150 modelo 11040007,Producto con Inventario con Descuento y Despacho,No,236,,,,,45,,,,,No,5,TORPEDO,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,155.2635,100302,,,"Empresa Torpedo, SA",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
