code,tramo,nivel,warehouse_id,location_type
GC-P4-T22-N9,1069,1,1,STORAGE
GC-P4-T22-N8,1068,1,1,STORAGE
GC-P4-T22-N7,1067,1,1,STORAGE
GC-P4-T22-N6,1066,1,1,STORAGE
GC-P4-T22-N5,1065,1,1,STORAGE
GC-P4-T22-N4,1064,1,1,STORAGE
GC-P4-T22-N3,1063,1,1,STORAGE
GC-P4-T22-N20,1062,1,1,STORAGE
GC-P4-T22-N2,1061,1,1,STORAGE
GC-P4-T22-N19,1060,1,1,STORAGE
GC-P4-T22-N18,1059,1,1,STORAGE
GC-P4-T22-N17,1058,1,1,STORAGE
GC-P4-T22-N16,1057,1,1,STORAGE
GC-P4-T22-N15,1056,1,1,STORAGE
GC-P4-T22-N14,1055,1,1,STORAGE
GC-P4-T22-N13,1054,1,1,STORAGE
GC-P4-T22-N12,1053,1,1,STORAGE
GC-P4-T22-N11,1052,1,1,STORAGE
GC-P4-T22-N10,1051,1,1,STORAGE
GC-P4-T22-N1,1050,1,1,STORAGE
GC-P4-T21-N9,1049,1,1,STORAGE
GC-P4-T21-N8,1048,1,1,STORAGE
GC-P4-T21-N7,1047,1,1,STORAGE
GC-P4-T21-N6,1046,1,1,STORAGE
GC-P4-T21-N5,1045,1,1,STORAGE
GC-P4-T21-N4,1044,1,1,STORAGE
GC-P4-T21-N3,1043,1,1,STORAGE
GC-P4-T21-N2,1042,1,1,STORAGE
GC-P4-T21-N17,1041,1,1,STORAGE
GC-P4-T21-N16,1040,1,1,STORAGE
GC-P4-T21-N15,1039,1,1,STORAGE
GC-P4-T21-N14,1038,1,1,STORAGE
GC-P4-T21-N13,1037,1,1,STORAGE
GC-P4-T21-N12,1036,1,1,STORAGE
GC-P4-T21-N11,1035,1,1,STORAGE
GC-P4-T21-N10,1034,1,1,STORAGE
GC-P4-T21-N1,1033,1,1,STORAGE
GC-P4-T20-N9,1032,1,1,STORAGE
GC-P4-T20-N8,1031,1,1,STORAGE
GC-P4-T20-N7,1030,1,1,STORAGE
GC-P4-T20-N6,1029,1,1,STORAGE
GC-P4-T20-N5,1028,1,1,STORAGE
GC-P4-T20-N4,1027,1,1,STORAGE
GC-P4-T20-N3,1026,1,1,STORAGE
GC-P4-T20-N2,1025,1,1,STORAGE
GC-P4-T20-N16,1024,1,1,STORAGE
GC-P4-T20-N15,1023,1,1,STORAGE
GC-P4-T20-N14,1022,1,1,STORAGE
GC-P4-T20-N13,1021,1,1,STORAGE
GC-P4-T20-N12,1020,1,1,STORAGE
GC-P4-T20-N11,1019,1,1,STORAGE
GC-P4-T20-N10,1018,1,1,STORAGE
GC-P4-T20-N1,1017,1,1,STORAGE
GC-P4-T19-N9,1016,1,1,STORAGE
GC-P4-T19-N8,1015,1,1,STORAGE
GC-P4-T19-N7,1014,1,1,STORAGE
GC-P4-T19-N6,1013,1,1,STORAGE
GC-P4-T19-N5,1012,1,1,STORAGE
GC-P4-T19-N4,1011,1,1,STORAGE
GC-P4-T19-N3,1010,1,1,STORAGE
GC-P4-T19-N21,1009,1,1,STORAGE
GC-P4-T19-N20,1008,1,1,STORAGE
GC-P4-T19-N2,1007,1,1,STORAGE
GC-P4-T19-N19,1006,1,1,STORAGE
GC-P4-T19-N18,1005,1,1,STORAGE
GC-P4-T19-N17,1004,1,1,STORAGE
GC-P4-T19-N16,1003,1,1,STORAGE
GC-P4-T19-N15,1002,1,1,STORAGE
GC-P4-T19-N14,1001,1,1,STORAGE
GC-P4-T19-N13,1000,1,1,STORAGE
GC-P4-T19-N12,999,1,1,STORAGE
GC-P4-T19-N11,998,1,1,STORAGE
GC-P4-T19-N10,997,1,1,STORAGE
GC-P4-T19-N1,996,1,1,STORAGE
GC-P4-T18-N9,995,1,1,STORAGE
GC-P4-T18-N8,994,1,1,STORAGE
GC-P4-T18-N7,993,1,1,STORAGE
GC-P4-T18-N6,992,1,1,STORAGE
GC-P4-T18-N5,991,1,1,STORAGE
GC-P4-T18-N4,990,1,1,STORAGE
GC-P4-T18-N3,989,1,1,STORAGE
GC-P4-T18-N20,988,1,1,STORAGE
GC-P4-T18-N2,987,1,1,STORAGE
GC-P4-T18-N19,986,1,1,STORAGE
GC-P4-T18-N18,985,1,1,STORAGE
GC-P4-T18-N17,984,1,1,STORAGE
GC-P4-T18-N16,983,1,1,STORAGE
GC-P4-T18-N15,982,1,1,STORAGE
GC-P4-T18-N14,981,1,1,STORAGE
GC-P4-T18-N13,980,1,1,STORAGE
GC-P4-T18-N12,979,1,1,STORAGE
GC-P4-T18-N11,978,1,1,STORAGE
GC-P4-T18-N10,977,1,1,STORAGE
GC-P4-T18-N1,976,1,1,STORAGE
GC-P4-T17-N9,975,1,1,STORAGE
GC-P4-T17-N8,974,1,1,STORAGE
GC-P4-T17-N7,973,1,1,STORAGE
GC-P4-T17-N6,972,1,1,STORAGE
GC-P4-T17-N5,971,1,1,STORAGE
GC-P4-T17-N4,970,1,1,STORAGE
GC-P4-T17-N30,969,1,1,STORAGE
GC-P4-T17-N3,968,1,1,STORAGE
GC-P4-T17-N29,967,1,1,STORAGE
GC-P4-T17-N28,966,1,1,STORAGE
GC-P4-T17-N27,965,1,1,STORAGE
GC-P4-T17-N26,964,1,1,STORAGE
GC-P4-T17-N25,963,1,1,STORAGE
GC-P4-T17-N24,962,1,1,STORAGE
GC-P4-T17-N23,961,1,1,STORAGE
GC-P4-T17-N22,960,1,1,STORAGE
GC-P4-T17-N21,959,1,1,STORAGE
GC-P4-T17-N20,958,1,1,STORAGE
GC-P4-T17-N2,957,1,1,STORAGE
GC-P4-T17-N19,956,1,1,STORAGE
GC-P4-T17-N18,955,1,1,STORAGE
GC-P4-T17-N17,954,1,1,STORAGE
GC-P4-T17-N16,953,1,1,STORAGE
GC-P4-T17-N15,952,1,1,STORAGE
GC-P4-T17-N14,951,1,1,STORAGE
GC-P4-T17-N13,950,1,1,STORAGE
GC-P4-T17-N12,949,1,1,STORAGE
GC-P4-T17-N11,948,1,1,STORAGE
GC-P4-T17-N10,947,1,1,STORAGE
GC-P4-T17-N1,946,1,1,STORAGE
GC-P4-T16-N9,945,1,1,STORAGE
GC-P4-T16-N8,944,1,1,STORAGE
GC-P4-T16-N7,943,1,1,STORAGE
GC-P4-T16-N6,942,1,1,STORAGE
GC-P4-T16-N5,941,1,1,STORAGE
GC-P4-T16-N4,940,1,1,STORAGE
GC-P4-T16-N30,939,1,1,STORAGE
GC-P4-T16-N3,938,1,1,STORAGE
GC-P4-T16-N29,937,1,1,STORAGE
GC-P4-T16-N28,936,1,1,STORAGE
GC-P4-T16-N27,935,1,1,STORAGE
GC-P4-T16-N26,934,1,1,STORAGE
GC-P4-T16-N25,933,1,1,STORAGE
GC-P4-T16-N24,932,1,1,STORAGE
GC-P4-T16-N23,931,1,1,STORAGE
GC-P4-T16-N22,930,1,1,STORAGE
GC-P4-T16-N21,929,1,1,STORAGE
GC-P4-T16-N20,928,1,1,STORAGE
GC-P4-T16-N2,927,1,1,STORAGE
GC-P4-T16-N19,926,1,1,STORAGE
GC-P4-T16-N18,925,1,1,STORAGE
GC-P4-T16-N17,924,1,1,STORAGE
GC-P4-T16-N16,923,1,1,STORAGE
GC-P4-T16-N15,922,1,1,STORAGE
GC-P4-T16-N14,921,1,1,STORAGE
GC-P4-T16-N13,920,1,1,STORAGE
GC-P4-T16-N12,919,1,1,STORAGE
GC-P4-T16-N11,918,1,1,STORAGE
GC-P4-T16-N10,917,1,1,STORAGE
GC-P4-T16-N1,916,1,1,STORAGE
GC-P4-T15-N9,915,1,1,STORAGE
GC-P4-T15-N8,914,1,1,STORAGE
GC-P4-T15-N7,913,1,1,STORAGE
GC-P4-T15-N6,912,1,1,STORAGE
GC-P4-T15-N5,911,1,1,STORAGE
GC-P4-T15-N4,910,1,1,STORAGE
GC-P4-T15-N3,909,1,1,STORAGE
GC-P4-T15-N25,908,1,1,STORAGE
GC-P4-T15-N24,907,1,1,STORAGE
GC-P4-T15-N23,906,1,1,STORAGE
GC-P4-T15-N22,905,1,1,STORAGE
GC-P4-T15-N21,904,1,1,STORAGE
GC-P4-T15-N20,903,1,1,STORAGE
GC-P4-T15-N2,902,1,1,STORAGE
GC-P4-T15-N19,901,1,1,STORAGE
GC-P4-T15-N18,900,1,1,STORAGE
GC-P4-T15-N17,899,1,1,STORAGE
GC-P4-T15-N16,898,1,1,STORAGE
GC-P4-T15-N15,897,1,1,STORAGE
GC-P4-T15-N14,896,1,1,STORAGE
GC-P4-T15-N13,895,1,1,STORAGE
GC-P4-T15-N12,894,1,1,STORAGE
GC-P4-T15-N11,893,1,1,STORAGE
GC-P4-T15-N10,892,1,1,STORAGE
GC-P4-T15-N1,891,1,1,STORAGE
GC-P4-T14-N9,890,1,1,STORAGE
GC-P4-T14-N8,889,1,1,STORAGE
GC-P4-T14-N7,888,1,1,STORAGE
GC-P4-T14-N6,887,1,1,STORAGE
GC-P4-T14-N5,886,1,1,STORAGE
GC-P4-T14-N4,885,1,1,STORAGE
GC-P4-T14-N3,884,1,1,STORAGE
GC-P4-T14-N25,883,1,1,STORAGE
GC-P4-T14-N24,882,1,1,STORAGE
GC-P4-T14-N23,881,1,1,STORAGE
GC-P4-T14-N22,880,1,1,STORAGE
GC-P4-T14-N21,879,1,1,STORAGE
GC-P4-T14-N20,878,1,1,STORAGE
GC-P4-T14-N2,877,1,1,STORAGE
GC-P4-T14-N19,876,1,1,STORAGE
GC-P4-T14-N18,875,1,1,STORAGE
GC-P4-T14-N17,874,1,1,STORAGE
GC-P4-T14-N16,873,1,1,STORAGE
GC-P4-T14-N15,872,1,1,STORAGE
